Stock,Availability,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceColor,FluorescenceIntensity,Measurements,Lab,Certificate,Rap,Discount,percarat,FancyColor,FancyColorIntensity,FancyColorOvertone,Depth,Table,GirdleThin,GirdleThick,Girdle,GirdleCondition,CuletSize,CuletCondition,CrownHeight,CrownAngle,PavilionDepth,PavilionAngle,Country,DiamondImage,VIDEO,CertPDFUrl,Heartimage,ArrowImage,AssetImage,Keytosymbols,Shade,BlackInclusion,Milky,EyeClean,Origin,Certi Comment,Table Inc.,Table Black,Table Open,Side Inc.,Side Black,Side Open,Girdle Open,Pavallion Open
52936,Subject to Prior Sale,BAGUETTE,0.54,G,VS2,,VG,VG,,NON,8.660 - 2.970 X 1.930,GIA,6415804873,2600.0,18.0,2132.0,NONE,NONE,NONE,64.9,69.0,STK,VTK,0.0,POLISHED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/RL-52936R/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=RL-52936R,https://thnk18.azureedge.net/img/CertImages/6415804873.jpg,,,,CRYSTAL  FEATHER  NEEDLE,NONE,PIN POINT BLK,NONE,100.0,-,,MINOR FEATHER,PIN POINT BLK,NONE,MINOR FEATHER,NONE,NONE,HAIR LINE,NONE
53314,Subject to Prior Sale,RADIANT MODIFIED,1.5,F,SI2,,VG,G,,FNT,7.030 - 5.620 X 3.890,GIA,7392654678,7400.0,60.0,2960.0,,,,69.2,70.0,ETK,,0.0,,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/H483-187595/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=H483-187595,https://thnk18.azureedge.net/img/CertImages/7392654678.jpg,,,,CRYSTAL  FEATHER  CAVITY  NEEDLE  NATURAL,NONE,HEAVY BLK,NONE,80.0,-,PINPOINTS ARE NOT SHOWN.,MEDIUM FEATHER,HEAVY BLK,NONE,MEDIUM FEATHER,PIN POINT BLK,NONE,NONE,NONE
53318,Subject to Prior Sale,MARQUISE,2.04,F,I1,,VG,VG,,NON,13.510 - 6.700 X 3.800,GIA,1459332966,5900.0,35.0,3835.0,NONE,NONE,NONE,56.7,61.0,THN,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/BL-53318/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=BL-53318,https://thnk18.azureedge.net/img/CertImages/1459332966.jpg,,,,FEATHER  TWINNING WISP  CRYSTAL  CLOUD  CAVITY  NEEDLE  EXTRA FACET,NONE,MEDIUM BLK,NONE,80.0,-,ADDITIONAL CLOUDS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,MEDIUM FEATHER,MEDIUM BLK,MEDIUM OPEN,HEAVY FEATHER,MEDIUM BLK,SMALL OPEN,SMALL OPEN,NONE
53337,Subject to Prior Sale,PEAR,2.01,E,SI2,,EX,VG,,NON,11.310 - 6.610 X 4.240,HRD,220000043620,10900.0,70.0,3270.0,,,,64.1,62.0,EX THICK,,8.0,FACETED,NON,,16.5,0.0,40.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J432-229955/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J432-229955,https://thnk18.azureedge.net/img/CertImages/220000043620.jpg,,,,,NONE,HEAVY BLK,NONE,70.0,-,,MEDIUM FEATHER,HEAVY BLK,NONE,MEDIUM FEATHER,MEDIUM BLK,SMALL OPEN,MEDIUM OPEN,NONE
53339,Subject to Prior Sale,PEAR,2.0,G,SI2,,EX,VG,,NON,10.460 - 6.860 X 4.130,HRD,220000130226,9900.0,66.0,3366.0,,,,60.2,59.0,VERY THICK,,6.5,FACETED,NON,,18.5,0.0,35.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J250-253774/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J250-253774,https://thnk18.azureedge.net/img/CertImages/220000130226.jpg,,,,,NONE,MEDIUM BLK,NONE,75.0,-,,MEDIUM FEATHER,MEDIUM BLK,HAIR LINE,MEDIUM FEATHER,MINOR BLK,HAIR LINE,NONE,NONE
53340,Subject to Prior Sale,PEAR,1.57,E,SI2,,EX,VG,,NON,10.200 - 6.580 X 3.610,HRD,220000089296,7700.0,70.0,2310.0,,,,54.9,61.0,VERY THICK,,7.0,FACETED,NON,,14.5,0.0,34.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J138-227796/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J138-227796,https://thnk18.azureedge.net/img/CertImages/220000089296.jpg,,,,,NONE,HEAVY BLK,NONE,70.0,-,,MINOR FEATHER,HEAVY BLK,HAIR LINE,MEDIUM FEATHER,MEDIUM BLK,SMALL OPEN,NONE,NONE
53341,Subject to Prior Sale,PEAR,1.54,E,SI2,,EX,VG,,SL,10.170 - 6.480 X 3.670,HRD,220000090298,7700.0,68.0,2464.0,,,,56.6,63.0,MEDIUM,,4.5,FACETED,NON,,16.5,0.0,35.5,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J173-237162/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J173-237162,https://thnk18.azureedge.net/img/CertImages/220000090298.jpg,,,,,LIGHT BROWN,HEAVY BLK,NONE,80.0,-,,MEDIUM FEATHER,HEAVY BLK,NONE,MEDIUM FEATHER,MINOR BLK,SMALL OPEN,NONE,NONE
53345,Subject to Prior Sale,OVAL,2.02,E,SI2,,EX,VG,,NON,9.960 - 7.110 X 4.390,HRD,220000135574,10900.0,65.0,3815.0,,,,61.7,64.0,MEDIUM,,4.0,FACETED,NON,,14.0,0.0,43.5,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J243-254386/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J243-254386,https://thnk18.azureedge.net/img/CertImages/220000135574.jpg,,,,,INSPECTION ADVISABLE,HEAVY BLK,NONE,70.0,-,,HEAVY CRYSTAL,HEAVY BLK,SMALL OPEN,MEDIUM FEATHER,MINOR BLK,SMALL OPEN,NONE,NONE
53394,Subject to Prior Sale,MARQUISE,1.54,D,VVS1,,EX,EX,,NON,13.200 - 5.860 X 3.290,GIA,5222542162,16400.0,33.0,10988.0,,,,56.1,61.0,STK,VTK,0.0,FACETED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/J226-247010/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=J226-247010,https://thnk18.azureedge.net/img/CertImages/5222542162.jpg,,,,,NONE,NONE,NONE,100.0,-,CLARITY GRADE IS BASED ON INTERNAL GRAINING THAT IS NOT SHOWN.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53398,Subject to Prior Sale,EMERALD,0.7,D,VS1,,VG,VG,,FNT,5.860 - 4.280 X 2.730,GIA,6461825915,4900.0,56.0,2156.0,NONE,NONE,NONE,63.7,73.0,VTK,ETK,0.0,POLISHED,NON,,0.0,0.0,0.0,0.0,MUM,https://thnk18.azureedge.net/img/images/imaged/BL-53398/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=BL-53398,https://thnk18.azureedge.net/img/CertImages/6461825915.jpg,,,,CRYSTAL  FEATHER  PINPOINT  NEEDLE,,PIN POINT BLK,,0.0,-,,MINOR CRYSTAL,PIN POINT BLK,NONE,MINOR FEATHER,NONE,NONE,SMALL OPEN,NONE
53408,Subject to Prior Sale,ROUND,1.0,E,VVS2,EX,EX,EX,,NON,6.460 - 6.430 X 3.930,GIA,2476060728,12500.0,38.0,7750.0,NONE,NONE,NONE,60.9,60.0,MED,,3.5,FACETED,NON,,14.0,34.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53408/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53408,https://thnk18.azureedge.net/img/CertImages/2476060728.jpg,,,,PINPOINT  FEATHER  NEEDLE,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR PINPOINT,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53413,Subject to Prior Sale,ROUND,1.0,F,VS1,EX,EX,EX,,NON,6.420 - 6.390 X 3.980,GIA,6475060727,10000.0,37.0,6300.0,NONE,NONE,NONE,62.1,59.0,MED,STK,3.5,FACETED,NON,,14.5,34.5,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53413/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53413,https://thnk18.azureedge.net/img/CertImages/6475060727.jpg,,,,CLOUD  CRYSTAL  NEEDLE,NONE,NONE,NONE,100.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,NONE,NONE,MINOR CLOUD,NONE,NONE,NONE,NONE
53419,Subject to Prior Sale,ROUND,1.01,G,VS2,EX,EX,EX,,FNT,6.430 - 6.390 X 3.960,GIA,3475075035,7600.0,47.0,4028.0,NONE,NONE,NONE,61.8,58.0,MED,STK,4.0,FACETED,NON,,15.0,36.0,42.5,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53419/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53419,https://thnk18.azureedge.net/img/CertImages/3475075035.jpg,,,,CRYSTAL  CLOUD  NEEDLE  FEATHER,NONE,MINOR BLK,NONE,100.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,MINOR BLK,NONE,MINOR CLOUD,MINOR BLK,NONE,NONE,NONE
53438,Subject to Prior Sale,ROUND,1.13,G,VS2,EX,EX,EX,,NON,6.700 - 6.670 X 4.170,GIA,1475097790,7600.0,38.5,4674.0,NONE,NONE,NONE,62.4,56.0,MED,STK,3.5,FACETED,NON,,15.0,35.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53438/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53438,https://thnk18.azureedge.net/img/CertImages/1475097790.jpg,,,,CLOUD  CRYSTAL  FEATHER  NEEDLE,NONE,NONE,NONE,100.0,-,PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,NONE,NONE,MINOR CLOUD,PIN POINT BLK,NONE,NONE,NONE
53440,Subject to Prior Sale,ROUND,1.11,G,VS2,EX,EX,EX,,NON,6.640 - 6.590 X 4.130,GIA,6472060704,7600.0,38.5,4674.0,NONE,NONE,NONE,62.4,57.0,MED,STK,3.5,FACETED,NON,,15.0,35.0,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53440/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53440,https://thnk18.azureedge.net/img/CertImages/6472060704.jpg,,,,CRYSTAL  CLOUD  NEEDLE,NONE,PIN POINT BLK,NONE,100.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,PIN POINT BLK,NONE,NONE,NONE,NONE,NONE,NONE
53442,Subject to Prior Sale,ROUND,1.05,G,VS2,EX,EX,EX,,NON,6.590 - 6.560 X 4.010,GIA,7471075082,7600.0,38.0,4712.0,NONE,NONE,NONE,61.0,59.0,MED,STK,3.5,FACETED,NON,,13.5,33.5,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53442/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53442,https://thnk18.azureedge.net/img/CertImages/7471075082.jpg,,,,CRYSTAL  FEATHER  NEEDLE,NONE,PIN POINT BLK,NONE,100.0,-,PINPOINTS ARE NOT SHOWN. SURFACE GRAINING IS NOT SHOWN.,MINOR CRYSTAL,PIN POINT BLK,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53445,Subject to Prior Sale,ROUND,1.0,G,VS2,EX,EX,EX,,NON,6.380 - 6.350 X 3.980,GIA,1473097808,7600.0,37.5,4750.0,NONE,NONE,NONE,62.6,57.0,MED,STK,4.0,Faceted,NON,,15.5,35.5,43.0,40.8,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53445/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53445,https://thnk18.azureedge.net/img/CertImages/1473097808.jpg,,,,Crystal  Feather  Pinpoint,NONE,NONE,NONE,0.0,-,,MINOR CRYSTAL,NONE,NONE,MINOR CRYSTAL,NONE,NONE,NONE,NONE
53448,Subject to Prior Sale,ROUND,1.1,H,IF,EX,EX,EX,,NON,6.640 - 6.610 X 4.070,GIA,5473097810,9400.0,41.0,5546.0,NONE,NONE,NONE,61.5,59.0,MED,STK,3.5,FACETED,NON,,14.5,35.0,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53448/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53448,https://thnk18.azureedge.net/img/CertImages/5473097810.jpg,,,,,NONE,NONE,NONE,100.0,-,MINOR DETAILS OF POLISH ARE NOT SHOWN.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53450,Subject to Prior Sale,ROUND,1.11,H,VVS1,EX,EX,EX,,FNT,6.690 - 6.670 X 4.080,GIA,6471060615,8900.0,48.5,4583.5,NONE,NONE,NONE,61.0,59.0,MED,STK,3.5,FACETED,NON,,13.5,33.5,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53450/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53450,https://thnk18.azureedge.net/img/CertImages/6471060615.jpg,,,,NEEDLE  PINPOINT  NATURAL,NONE,PIN POINT BLK,NONE,100.0,-,,NONE,PIN POINT BLK,NONE,NONE,NONE,NONE,SMALL OPEN,NONE
53451,Subject to Prior Sale,ROUND,1.11,H,VVS1,EX,EX,EX,,NON,6.670 - 6.640 X 4.110,GIA,1478075000,8900.0,38.0,5518.0,NONE,NONE,NONE,61.8,57.0,THN,STK,3.5,FACETED,NON,,14.5,34.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53451/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53451,https://thnk18.azureedge.net/img/CertImages/1478075000.jpg,,,,,NONE,NONE,NONE,100.0,-,CLARITY GRADE IS BASED ON INTERNAL GRAINING THAT IS NOT SHOWN.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53457,Subject to Prior Sale,ROUND,1.11,I,VVS2,EX,EX,EX,,NON,6.650 - 6.630 X 4.100,GIA,2476060697,7000.0,37.5,4375.0,NONE,NONE,NONE,61.7,58.0,MED,STK,3.5,FACETED,NON,,14.5,34.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53457/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53457,https://thnk18.azureedge.net/img/CertImages/2476060697.jpg,,,,PINPOINT  CLOUD  NEEDLE,NONE,NONE,NONE,100.0,-,,MINOR PINPOINT,NONE,NONE,MINOR CLOUD,NONE,NONE,NONE,NONE
53458,Subject to Prior Sale,ROUND,1.0,H,VVS2,EX,EX,EX,,NON,6.440 - 6.420 X 3.980,GIA,1475060639,8300.0,37.0,5229.0,NONE,NONE,NONE,62.0,57.0,THN,MED,3.5,FACETED,NON,,15.0,35.0,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53458/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53458,https://thnk18.azureedge.net/img/CertImages/1475060639.jpg,,,,CLOUD  NATURAL,NONE,NONE,NONE,100.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN.,MINOR CLOUD,NONE,NONE,NONE,NONE,NONE,SMALL OPEN,NONE
53459,Subject to Prior Sale,ROUND,1.0,H,VVS2,EX,EX,EX,,NON,6.450 - 6.400 X 3.990,GIA,1473060627,8300.0,36.0,5312.0,NONE,NONE,NONE,62.1,56.0,MED,,3.5,FACETED,NON,,15.5,35.0,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53459/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53459,https://thnk18.azureedge.net/img/CertImages/1473060627.jpg,,,,FEATHER,NONE,NONE,NONE,100.0,-,,NONE,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53466,Subject to Prior Sale,ROUND,1.15,H,VS2,EX,EX,EX,,NON,6.790 - 6.760 X 4.120,GIA,7476074964,7000.0,38.0,4340.0,NONE,NONE,NONE,60.8,59.0,MED,,3.5,FACETED,NON,,13.5,33.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53466/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53466,https://thnk18.azureedge.net/img/CertImages/7476074964.jpg,,,,CRYSTAL  NEEDLE,NONE,PIN POINT BLK,NONE,100.0,-,CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,MINOR CLOUD,PIN POINT BLK,NONE,MINOR CRYSTAL,PIN POINT BLK,NONE,NONE,NONE
53469,Subject to Prior Sale,ROUND,1.1,H,VS1,EX,EX,EX,,NON,6.690 - 6.630 X 4.070,GIA,7478164474,7700.0,38.0,4774.0,NONE,NONE,NONE,61.1,59.0,MED,STK,3.5,FACETED,NON,,13.5,33.5,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53469/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53469,https://thnk18.azureedge.net/img/CertImages/7478164474.jpg,,,,CLOUD  CRYSTAL  FEATHER  NEEDLE  PINPOINT,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR CLOUD,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53474,Subject to Prior Sale,ROUND,1.13,H,VS1,EX,EX,EX,,NON,6.740 - 6.710 X 4.130,GIA,7471074969,7700.0,37.5,4812.5,NONE,NONE,NONE,61.4,58.0,THN,MED,3.5,FACETED,NON,,14.5,34.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53474/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53474,https://thnk18.azureedge.net/img/CertImages/7471074969.jpg,,,,CLOUD  CRYSTAL  NEEDLE,NONE,NONE,NONE,100.0,-,PINPOINTS ARE NOT SHOWN.,MINOR CLOUD,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53476,Subject to Prior Sale,ROUND,1.11,H,VVS1,EX,EX,EX,,NON,6.670 - 6.610 X 4.100,GIA,2476164487,8900.0,38.0,5518.0,NONE,NONE,NONE,61.8,58.0,MED,,3.5,FACETED,NON,,15.0,35.0,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53476/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53476,https://thnk18.azureedge.net/img/CertImages/2476164487.jpg,,,,PINPOINT,NONE,NONE,NONE,100.0,-,,MINOR PINPOINT,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53478,Subject to Prior Sale,ROUND,1.13,H,VS1,EX,EX,EX,,NON,6.720 - 6.690 X 4.140,GIA,6472074919,7700.0,37.5,4812.5,NONE,NONE,NONE,61.7,57.0,MED,,3.5,FACETED,NON,,15.0,34.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53478/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53478,https://thnk18.azureedge.net/img/CertImages/6472074919.jpg,,,,CLOUD  FEATHER  PINPOINT,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR CLOUD,NONE,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53481,Subject to Prior Sale,ROUND,1.11,H,VS2,EX,EX,EX,,NON,6.670 - 6.620 X 4.120,GIA,6471060595,7000.0,38.0,4340.0,NONE,NONE,NONE,62.0,56.0,THN,MED,3.5,FACETED,NON,,15.0,34.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53481/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53481,https://thnk18.azureedge.net/img/CertImages/6471060595.jpg,,,,CRYSTAL  CLOUD  NEEDLE  PINPOINT,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,NONE,NONE,MINOR PINPOINT,NONE,NONE,NONE,NONE
53483,Subject to Prior Sale,ROUND,1.11,H,VS1,EX,EX,EX,,NON,6.650 - 6.620 X 4.120,GIA,6472074979,7700.0,37.5,4812.5,NONE,NONE,NONE,62.0,57.0,MED,STK,3.5,FACETED,NON,,15.0,34.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53483/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53483,https://thnk18.azureedge.net/img/CertImages/6472074979.jpg,,,,CRYSTAL  PINPOINT,NONE,NONE,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN. CLOUDS ARE NOT SHOWN.,MINOR CRYSTAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE
53486,Subject to Prior Sale,ROUND,1.18,H,VS2,EX,EX,EX,,NON,6.790 - 6.760 X 4.200,GIA,5476060760,7000.0,39.0,4270.0,NONE,NONE,NONE,62.1,57.0,THN,STK,3.5,FACETED,NON,,15.5,35.0,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53486/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53486,https://thnk18.azureedge.net/img/CertImages/5476060760.jpg,,,,CLOUD  CRYSTAL  FEATHER  NEEDLE  INDENTED NATURAL,NONE,PIN POINT BLK,NONE,100.0,-,ADDITIONAL CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,PIN POINT BLK,NONE,MINOR FEATHER,PIN POINT BLK,NONE,SMALL OPEN,NONE
53487,Subject to Prior Sale,ROUND,1.17,G,VS2,EX,EX,EX,,NON,6.800 - 6.750 X 4.210,IGI,583305192,7600.0,55.5,3382.0,NONE,NONE,NONE,62.3,55.0,MEDIUM (FACETED) ,,3.0,,NON,,15.5,34.8,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53487/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53487,https://thnk18.azureedge.net/img/CertImages/583305192.jpg,,,,,INSPECTION ADVISABLE,PIN POINT BLK,NONE,100.0,-,IDEAL CUT ROUND BRILLIANT,MINOR CRYSTAL,PIN POINT BLK,NONE,NONE,NONE,NONE,NONE,NONE
53490,Subject to Prior Sale,ROUND,1.01,H,VS1,EX,EX,EX,,NON,6.480 - 6.460 X 3.950,GIA,6471110231,7700.0,35.0,5005.0,NONE,NONE,NONE,61.0,58.0,MED,STK,3.5,FACETED,NON,,15.0,35.0,43.0,40.6,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53490R/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53490R,https://thnk18.azureedge.net/img/CertImages/6471110231.jpg,,,,CLOUD  NEEDLE  PINPOINT,NONE,NONE,NONE,100.0,-,ADDITIONAL CLOUDS  ADDITIONAL PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,MINOR CRYSTAL,NONE,NONE,MINOR CLOUD,NONE,NONE,NONE,NONE
53495,Subject to Prior Sale,ROUND,1.11,G,VS2,EX,EX,EX,,NON,6.650 - 6.630 X 4.130,HRD,230000102674,7600.0,53.0,3572.0,NONE,NONE,NONE,62.2,56.0,MEDIUM,,3.5,FACETED,NON,,15.0,34.9,44.0,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53495/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53495,https://thnk18.azureedge.net/img/CertImages/230000102674.jpg,,,,,NONE,PIN POINT BLK,NONE,100.0,-,,MINOR CLOUD,PIN POINT BLK,NONE,MINOR CLOUD,PIN POINT BLK,NONE,NONE,NONE
53496,Subject to Prior Sale,ROUND,1.11,H,VS2,EX,EX,EX,,FNT,6.710 - 6.680 X 4.080,GIA,2476075039,7000.0,51.0,3430.0,NONE,NONE,NONE,60.9,58.0,MED,STK,3.5,FACETED,NON,,14.0,33.5,43.5,41.0,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53496/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53496,https://thnk18.azureedge.net/img/CertImages/2476075039.jpg,,,,CRYSTAL  CLOUD  NEEDLE  ETCH CHANNEL  PINPOINT,NONE,MINOR BLK,NONE,100.0,-,ADDITIONAL PINPOINTS ARE NOT SHOWN.,MINOR CRYSTAL,MINOR BLK,NONE,MINOR FEATHER,NONE,NONE,NONE,NONE
53498,Subject to Prior Sale,ROUND,1.1,H,VS2,EX,EX,EX,,NON,6.720 - 6.690 X 4.040,GIA,6472075043,7000.0,38.0,4340.0,NONE,NONE,NONE,60.3,59.0,MED,,3.5,FACETED,NON,,13.0,32.5,43.5,41.2,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53498/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53498,https://thnk18.azureedge.net/img/CertImages/6472075043.jpg,,,,CLOUD  CRYSTAL  NEEDLE  INDENTED NATURAL,NONE,PIN POINT BLK,NONE,100.0,-,ADDITIONAL CLOUDS  PINPOINTS AND SURFACE GRAINING ARE NOT SHOWN.,MINOR CRYSTAL,PIN POINT BLK,NONE,MINOR CLOUD,NONE,NONE,SMALL OPEN,NONE
53499,Subject to Prior Sale,ROUND,1.1,H,SI1,EX,EX,EX,,NON,6.660 - 6.650 X 4.070,GIA,7472075051,5500.0,43.0,3135.0,NONE,NONE,NONE,61.2,59.0,MED,,3.5,FACETED,NON,,14.0,33.5,44.0,41.4,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53499/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53499,https://thnk18.azureedge.net/img/CertImages/7472075051.jpg,,,,CRYSTAL  NEEDLE,NONE,MINOR BLK,NONE,95.0,-,CLOUDS ARE NOT SHOWN. PINPOINTS ARE NOT SHOWN.,NONE,MINOR BLK,NONE,NONE,MINOR BLK,NONE,NONE,NONE
53501,Subject to Prior Sale,ROUND,1.04,F,VS2,EX,EX,EX,,NON,6.540 - 6.500 X 4.000,IGI,583305175,8200.0,55.0,3690.0,NONE,NONE,NONE,61.4,60.0,MEDIUM (FACETED) ,,3.0,,NON,,14.0,34.1,43.5,41.3,MUM,https://thnk18.azureedge.net/img/images/imaged/PUR-53501/still.jpg,https://thnk18.azureedge.net/img/images/Vision360.html?d=PUR-53501,https://thnk18.azureedge.net/img/CertImages/583305175.jpg,,,,,NONE,PIN POINT BLK,NONE,100.0,-,IDEAL CUT ROUND BRILLIANT,MINOR CRYSTAL,PIN POINT BLK,NONE,MINOR CRYSTAL,NONE,NONE,NONE,SMALL OPEN
